"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","EPS Growth This Year","EPS Growth Next Year","EPS Growth Past 5 Years","EPS Growth Next 5 Years","Sales Growth Past 5 Years","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Average Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Performance (10 Years)","Volatility (Week)","Volatility (Month)","Relative Volume","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Dividend Yield","Return on Assets","Return on Equity","Return on Invested Capital","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date"
"279","BMI","Badger Meter Inc","Technology","Scientific & Technical Instruments","USA","4564.28","32.33","154.88","-2.23%","469644","27.92","2.81","4.98","6.50","20.19","26.90","6.52%","8.72%","23.19%","9.95%","16.59%","29.47","29.32","0.51%","3.41%","104.66%","3.42%","6.99%","5.96","343.71","2.41%","-9.43%","-16.65%","-18.94%","-11.20%","-29.37%","27.73%","44.10%","392.93%","4.18%","4.26%","1.37","0.85","6.98","-1.38%","-8.72%","-20.88%","-39.52%","11.31%","44.45","-2.72%","0.51%","0.90%","15.83%","21.47%","20.16%","3.36","2.36","0.00","0.00","41.68%","20.01%","15.45%","1/28/2026 8:30:00 AM"
"280","BMNR","BitMine Immersion Technologies Inc","Financial","Capital Markets","USA","9533.92","","20.96","6.18%","49138849","22.30","","1326.00","0.76","10.74","","-94.85%","36.23%","","","","454.86","436.79","3.97%","0.00%","25.82%","22.74%","6.41%","0.59","47796.79","2.39%","-35.82%","-48.34%","-65.33%","-22.80%","197.35%","61.23%","-96.48%","-12.67%","8.47%","8.03%","1.03","1.30","2.21","-14.43%","-27.75%","-40.01%","-86.98%","555.00%","39.19","3.56%","2.53%","0.05%","-84.77%","-86.57%","-43.30%","6.48","6.48","0.00","0.00","0.94%","-3289.11%","-67787.45%","01/28/2026"
"281","BMO","Bank of Montreal","Financial","Banks - Diversified","Canada","99970.49","17.24","141.02","0.64%","1705338","12.33","1.07","1.80","1.77","","3.68","14.51%","14.41%","7.81%","11.50%","16.93%","708.91","708.44","0.07%","0.00%","50.95%","0.82%","1.23%","11.94","729.95","-0.50%","5.82%","11.69%","23.52%","8.65%","40.36%","38.92%","83.48%","172.03%","2.29%","1.91%","2.34","0.93","2.81","1.03%","5.01%","16.58%","-3.64%","65.13%","55.78","1.09%","-0.44%","3.51%","0.60%","10.10%","6.69%","0.56","","0.41","1.99","","14.26%","10.63%","2/25/2026 8:30:00 AM"
"282","BMRN","Biomarin Pharmaceutical Inc","Healthcare","Biotechnology","USA","11501.89","22.43","59.87","-0.12%","1941042","14.37","0.39","3.73","1.90","7.78","13.82","2.64%","83.74%","","36.60%","10.98%","192.10","190.00","1.10%","0.00%","95.12%","-1.68%","4.16%","2.94","2694.51","2.99%","6.76%","8.22%","3.22%","0.74%","-7.06%","-45.08%","-31.22%","-14.57%","3.79%","2.91%","0.72","0.25","1.79","4.04%","5.02%","5.91%","-18.56%","17.95%","60.83","-0.12%","0.00%","","7.20%","9.07%","7.82%","4.83","3.10","0.10","0.10","80.64%","27.73%","16.87%","10/27/2025 4:30:00 PM"
"283","BMY","Bristol-Myers Squibb Co","Healthcare","Drug Manufacturers - General","USA","123695.42","17.56","60.74","1.47%","10819612","10.17","","2.57","6.69","11.59","9.63","0.36%","-3.20%","","-4.40%","2.54%","2036.00","2032.80","0.18%","-1.50%","81.40%","-1.21%","1.47%","2.03","14702.59","-2.02%","6.52%","23.76%","27.04%","12.61%","8.52%","-16.99%","1.25%","0.90%","2.27%","2.33%","0.74","0.27","1.42","6.48%","10.12%","24.34%","-4.09%","42.85%","67.28","1.05%","0.42%","4.16%","7.72%","40.53%","11.17%","1.26","1.14","2.42","2.55","65.89%","31.36%","14.64%","2/5/2026 8:30:00 AM"
"284","BN","Brookfield Corporation","Financial","Asset Management","Canada","118369.14","98.33","47.79","0.25%","4931216","14.07","","1.53","2.52","7.29","","22.12%","22.48%","","","4.05%","2476.86","2030.77","18.01%","0.00%","56.87%","-0.63%","1.05%","4.37","4876.71","5.71%","1.10%","1.92%","9.28%","4.14%","18.72%","95.22%","106.33%","372.80%","3.05%","2.81%","1.01","1.57","1.36","2.82%","2.63%","8.73%","-3.58%","64.38%","55.42","-0.27%","0.52%","0.62%","0.26%","2.78%","0.37%","1.14","1.00","5.42","5.42","26.37%","25.08%","1.47%","2/12/2026 8:30:00 AM"
"285","BNL","Broadstone Net Lease Inc","Real Estate","REIT - Diversified","USA","3716.20","42.41","19.64","1.45%","1384395","27.25","","8.21","1.29","45.34","14.91","-36.83%","32.68%","","-3.82%","7.99%","189.22","187.24","1.04%","0.00%","87.54%","0.49%","2.47%","2.47","1868.83","1.97%","6.39%","8.45%","17.53%","13.07%","25.74%","12.70%","10.58%","","1.88%","1.96%","0.74","1.00","0.37","4.29%","8.26%","12.71%","-0.56%","40.69%","67.83","0.61%","0.83%","5.88%","1.66%","3.05%","1.68%","3.79","3.79","0.83","0.83","58.30%","48.62%","19.56%","2/18/2026 4:30:00 PM"
"286","BNS","Bank Of Nova Scotia","Financial","Banks - Diversified","Canada","93588.66","18.75","75.70","-0.18%","1441632","11.44","0.93","1.81","1.70","","12.81","15.75%","12.72%","0.65%","12.25%","10.18%","1236.31","1235.49","0.07%","0.00%","49.59%","-1.15%","0.61%","3.81","1975.47","-0.84%","3.70%","11.60%","33.65%","2.73%","47.94%","36.22%","35.37%","94.20%","1.67%","1.55%","0.73","1.08","1.20","0.36%","2.52%","20.42%","-3.29%","71.69%","54.04","0.13%","-0.32%","4.31%","0.54%","9.19%","6.04%","0.61","","0.39","2.72","","12.43%","10.08%","2/24/2026 8:30:00 AM"
"287","BNT","Brookfield Wealth Solutions Ltd","Financial","Insurance - Diversified","Bermuda","17697.68","","47.60","0.04%","22337","","","1.52","1.09","","4.77","","","","","86.60%","371.80","13.51","","","2.10%","","2.55%","15.62","22.02","5.45%","0.19%","1.58%","8.78%","3.59%","18.88%","95.25%","","","2.76%","2.40%","1.01","1.64","1.24","2.39%","2.07%","8.48%","-4.53%","64.10%","54.48","-0.71%","0.76%","0.13%","0.55%","5.03%","3.25%","","","0.31","0.31","","11.58%","6.45%","2/12/2026 8:30:00 AM"
"288","BNTX","BioNTech SE ADR","Healthcare","Biotechnology","Germany","25457.50","","105.87","0.10%","632000","","","7.21","1.17","1.51","","-21.04%","31.23%","-25.87%","-5.34%","89.57%","240.46","238.79","0.69%","0.00%","19.25%","-6.67%","2.09%","4.27","1170.05","-0.70%","-2.98%","-5.22%","-6.06%","11.21%","-13.77%","-25.97%","-8.74%","","3.16%","3.29%","0.54","1.51","3.44","-5.02%","3.06%","1.67%","-14.96%","30.38%","46.51","-0.48%","0.59%","","-2.53%","-2.94%","-2.88%","7.12","7.02","0.01","0.01","82.79%","-6.68%","-17.91%","11/3/2025 8:30:00 AM"
"289","BOBS","Bob's Discount Furniture Inc","Consumer Cyclical","Specialty Retail","USA","2617.83","","20.08","1.98%","998498","","","","5.64","32.50","","","","","","","130.37","30.42","76.67%","-8.02%","","","","","4126.77","21.92%","","","","17.98%","","","","","6.37%","","0.24","","1.53","9.78%","9.78%","9.78%","-1.57%","21.92%","","1.67%","0.30%","","","","","0.84","0.27","1.28","1.49","","","",""
"290","BOH","Bank of Hawaii Corp","Financial","Banks - Regional","USA","3111.19","16.91","78.20","2.04%","686800","11.42","","2.91","2.06","","15.18","29.08%","14.53%","3.73%","","8.94%","39.73","39.21","1.45%","-3.67%","81.16%","-0.57%","7.00%","6.88","398.77","-0.90%","10.91%","17.98%","17.00%","14.38%","7.62%","1.23%","-10.67%","28.26%","3.13%","2.90%","1.72","0.72","2.12","3.80%","8.88%","15.63%","-2.55%","36.13%","63.10","2.12%","-0.08%","3.58%","0.86%","11.70%","7.39%","0.10","","0.35","0.38","","24.53%","17.31%","1/26/2026 8:30:00 AM"
"291","BOKF","BOK Financial Corp","Financial","Banks - Regional","USA","8489.10","14.61","134.22","0.19%","244771","13.15","4.06","2.52","1.37","","14.98","5.50%","5.54%","8.31%","3.24%","11.07%","60.62","24.64","61.04%","-0.02%","35.56%","0.86%","11.03%","8.76","310.26","-1.72%","7.30%","23.40%","26.55%","13.30%","21.26%","29.11%","62.45%","177.14%","2.40%","2.24%","0.79","0.86","2.97","1.11%","7.14%","22.60%","-3.03%","57.77%","62.47","0.49%","-0.29%","1.78%","1.13%","10.01%","6.33%","0.20","","0.53","0.78","","22.33%","17.05%","1/16/2026 4:30:00 PM"
"292","BOOT","Boot Barn Holdings Inc","Consumer Cyclical","Apparel Retail","USA","5718.74","26.39","187.99","1.07%","457873","22.11","1.20","2.64","4.46","28.58","63.70","24.80%","15.84%","29.08%","18.40%","17.71%","30.44","30.23","0.62%","-8.13%","116.38%","0.77%","11.29%","5.54","615.79","-7.57%","0.37%","5.05%","15.71%","6.53%","39.50%","126.55%","208.79%","2189.77%","4.12%","4.49%","0.74","1.66","8.81","0.39%","-1.57%","7.75%","-10.59%","118.16%","49.42","-0.15%","1.23%","","9.93%","18.45%","11.48%","2.39","0.57","0.49","0.55","38.32%","13.45%","10.10%","2/4/2026 4:30:00 PM"
"293","BOX","Box Inc","Technology","Software - Infrastructure","USA","3321.45","18.70","23.19","1.71%","2777762","15.97","","2.89","","4.54","9.67","-24.73%","12.80%","","-1.19%","9.38%","144.19","138.00","3.65%","-3.78%","103.58%","-5.86%","8.08%","4.40","2536.82","-6.00%","-14.99%","-27.44%","-25.27%","-22.47%","-34.47%","-31.35%","21.48%","134.24%","3.90%","3.40%","1.09","0.81","0.89","-7.95%","-17.26%","-26.37%","-40.23%","2.84%","29.40","0.83%","0.88%","0.14%","15.37%","204.27%","25.49%","1.20","1.20","2.50","3.48","78.92%","6.08%","16.21%","3/3/2026 4:30:00 PM"
"294","BP","BP plc ADR","Energy","Oil & Gas Integrated","United Kingdom","96469.10","","37.66","1.26%","7462973","12.58","2.47","0.51","1.82","2.63","8.54","-8.41%","13.41%","","5.09%","12.37%","2562.87","2561.58","0.00%","","13.11%","-13.16%","0.31%","0.94","8573.48","-3.46%","5.14%","2.17%","8.72%","8.44%","9.19%","-7.26%","71.88%","29.77%","2.64%","2.01%","0.87","0.31","1.09","0.57%","4.71%","11.87%","-4.68%","49.30%","52.84","1.26%","0.00%","5.43%","0.03%","0.13%","0.06%","1.26","0.98","1.25","1.37","17.41%","8.64%","0.04%","2/10/2026 8:30:00 AM"
"295","BPOP","Popular Inc","Financial","Banks - Regional","USA","9509.83","11.58","142.63","0.46%","471765","8.83","0.63","2.13","1.51","","16.03","18.23%","12.43%","1.42%","13.99%","10.09%","65.72","65.04","2.46%","-2.75%","91.69%","-0.91%","2.60%","2.91","580.20","-2.29%","13.01%","22.38%","19.58%","14.54%","38.48%","102.25%","128.94%","460.21%","3.08%","3.08%","0.81","0.61","3.99","5.07%","10.82%","21.01%","-4.47%","82.32%","64.00","1.15%","-0.68%","2.15%","1.12%","14.05%","11.87%","0.20","","0.12","0.23","","22.89%","18.68%","1/27/2026 8:30:00 AM"
"296","BPRE","Bluerock Private Real Estate Fund","Financial","Closed-End Fund - Debt","USA","2447.49","","17.11","0.29%","818577","","","","","","","","","","","","143.04","143.04","","","14.52%","","0.26%","0.21","1780.52","2.58%","6.27%","","","14.07%","","","","","3.08%","3.01%","0.46","","0.55","4.79%","7.61%","7.61%","-1.10%","24.44%","63.27","1.36%","-1.06%","1.31%","","","","","","","","","","",""
"297","BR","Broadridge Financial Solutions, Inc","Technology","Information Technology Services","USA","20279.25","19.23","173.70","1.89%","1813024","16.83","1.71","2.82","7.04","54.59","14.71","11.17%","8.60%","12.41%","9.85%","8.11%","116.70","116.17","0.50%","-21.58%","93.55%","1.10%","2.03%","2.47","954.68","-4.51%","-21.39%","-22.34%","-32.99%","-22.17%","-28.44%","17.63%","17.31%","219.60%","4.10%","3.55%","1.90","1.01","6.49","-10.48%","-18.50%","-25.59%","-36.12%","6.10%","27.66","1.47%","0.42%","2.19%","12.65%","41.79%","18.71%","0.97","0.97","0.98","1.17","31.22%","17.56%","14.86%","2/3/2026 8:30:00 AM"
"298","BRBR","Bellring Brands Inc","Consumer Defensive","Packaged Foods","USA","2095.61","12.27","17.87","1.42%","3408230","8.17","2.34","0.90","","27.22","8.49","-11.74%","14.15%","23.11%","3.49%","18.57%","117.27","115.30","1.68%","-0.35%","99.80%","-2.50%","7.27%","1.90","4400.67","-8.45%","-24.73%","-35.28%","-52.97%","-33.15%","-76.96%","-42.35%","-27.12%","","5.28%","6.50%","0.77","0.70","1.44","-21.63%","-31.33%","-56.56%","-77.54%","4.53%","26.08","0.68%","0.74%","","18.81%","","27.16%","2.23","1.00","","","31.68%","17.68%","7.88%","2/3/2026 8:30:00 AM"
"299","BRC","Brady Corp","Industrials","Security & Protection Services","USA","4544.53","23.52","96.33","0.12%","276149","17.50","1.67","2.95","3.65","24.88","28.42","9.67%","9.12%","13.27%","10.46%","6.96%","43.67","42.43","10.06%","-2.22%","79.24%","-0.31%","0.93%","1.88","208.56","4.39%","16.86%","26.75%","32.58%","22.92%","30.76%","82.58%","88.14%","340.87%","2.19%","2.05%","1.32","0.58","1.95","8.57%","15.08%","26.50%","-0.68%","53.64%","88.49","0.43%","-0.30%","1.01%","11.48%","16.69%","13.98%","2.07","1.39","0.13","0.14","50.67%","16.02%","12.74%","2/19/2026 8:30:00 AM"
"300","BRK-A","Berkshire Hathaway Inc","Financial","Insurance - Diversified","USA","1076049.41","16.02","751425.00","0.25%","400","23.14","110.17","2.89","1.55","2.82","55.68","-2.35%","0.85%","4.43%","0.21%","7.84%","0.52","0.52","63.64%","0.00%","6.67%","-2.08%","0.04%","0.31","0.76","-1.46%","1.07%","-0.65%","4.56%","-0.45%","4.15%","57.70%","105.87%","287.33%","1.27%","1.50%","0.53","0.69","11135.48","2.10%","1.06%","1.49%","-7.56%","9.67%","56.42","0.48%","-0.23%","","5.69%","10.17%","8.20%","5.89","5.59","0.18","0.22","24.85%","16.49%","18.13%","11/1/2025 4:30:00 PM"
"301","BRK-B","Berkshire Hathaway Inc","Financial","Insurance - Diversified","USA","1076049.41","15.91","497.55","-0.49%","4685852","22.97","109.37","2.89","1.54","2.82","55.68","-2.35%","0.85%","4.43%","0.21%","7.84%","1372.20","1367.57","36.61%","0.00%","42.15%","-0.00%","0.84%","2.32","4921.98","-2.07%","0.89%","-0.97%","3.82%","-1.01%","3.55%","58.59%","105.21%","288.50%","1.41%","1.51%","0.95","0.71","7.52","1.46%","0.40%","0.83%","-8.21%","9.31%","53.20","-0.52%","0.03%","","5.69%","10.17%","8.20%","5.89","5.59","0.18","0.22","24.85%","16.49%","18.13%","3/2/2026 8:30:00 AM"
"302","BRKR","Bruker Corp","Healthcare","Medical Devices","USA","5547.37","","36.51","-2.67%","3454799","15.16","1.03","1.61","2.27","18.57","128.11","15.96%","13.52%","","14.77%","11.57%","151.94","103.19","32.08%","-0.12%","89.09%","9.38%","9.88%","4.30","2373.25","-12.93%","-25.70%","-14.07%","8.53%","-22.50%","-28.62%","-51.82%","-39.90%","53.73%","5.45%","4.78%","1.46","1.21","2.22","-18.49%","-22.22%","-8.96%","-35.06%","27.97%","25.23","-1.16%","-1.52%","1.09%","-0.14%","-0.40%","-0.52%","1.73","0.87","0.75","0.76","46.71%","7.14%","-0.65%","2/12/2026 8:30:00 AM"
"303","BRO","Brown & Brown, Inc","Financial","Insurance Brokers","USA","23308.56","21.44","68.47","-1.52%","5035658","13.75","1.69","3.95","1.83","21.60","16.87","6.07%","10.19%","13.38%","8.13%","17.72%","336.00","290.62","14.63%","0.00%","82.23%","-0.19%","5.41%","5.41","2904.90","-7.20%","-13.80%","-14.63%","-28.02%","-14.09%","-38.28%","17.10%","52.83%","336.53%","4.49%","3.19%","1.73","0.79","2.41","-6.85%","-11.45%","-25.83%","-45.52%","4.25%","34.66","-1.74%","0.22%","0.98%","4.30%","10.98%","5.29%","1.04","1.04","0.57","0.63","93.78%","28.72%","17.64%","1/26/2026 4:30:00 PM"
"304","BROS","Dutch Bros Inc","Consumer Cyclical","Restaurants","USA","8752.59","83.90","53.20","4.68%","20280142","45.26","1.64","5.34","9.93","32.49","160.86","15.43%","34.00%","","27.59%","37.99%","127.05","122.03","3.94%","-60.67%","93.07%","4.56%","10.77%","3.31","3976.34","-6.73%","-14.87%","-7.67%","-15.90%","-13.10%","-36.32%","38.51%","","","7.97%","5.64%","5.10","2.56","3.28","-6.25%","-11.20%","-13.59%","-38.77%","12.81%","40.73","-10.59%","17.08%","","2.90%","13.11%","4.62%","1.49","1.28","1.54","1.60","25.68%","9.84%","4.87%","2/12/2026 4:30:00 PM"
"305","BRSL","Brightstar Lottery PLC","Consumer Cyclical","Gambling","United Kingdom","2547.79","12.05","13.45","-0.37%","1662916","13.87","1.02","1.02","2.93","1.50","30.28","19.40%","21.25%","","13.59%","-9.03%","189.43","100.90","46.74%","0.00%","47.74%","-6.21%","4.37%","2.69","1639.09","-5.81%","-7.81%","-19.17%","-13.39%","-13.11%","-5.92%","-40.05%","-7.65%","21.90%","2.77%","2.46%","1.01","1.06","0.37","-4.70%","-9.76%","-11.12%","-27.55%","16.69%","31.66","0.15%","-0.52%","28.36%","0.19%","1.61%","4.50%","0.74","0.70","4.77","4.94","43.42%","26.74%","9.06%","2/24/2026 8:30:00 AM"
"306","BRX","Brixmor Property Group Inc","Real Estate","REIT - Retail","USA","8980.01","23.39","29.29","0.93%","3133022","26.78","","6.52","2.98","24.84","27.05","-18.68%","7.59%","25.30%","-3.79%","5.42%","306.10","304.10","0.81%","-1.39%","102.07%","1.46%","4.61%","4.81","2915.88","3.43%","13.13%","10.15%","11.03%","11.71%","4.16%","26.09%","51.53%","29.26%","1.88%","1.96%","1.07","1.05","0.54","7.39%","10.99%","10.93%","0.10%","31.43%","74.35","0.65%","0.28%","4.25%","4.27%","12.86%","4.77%","0.53","0.53","1.69","1.89","45.18%","37.01%","27.97%","2/9/2026 4:30:00 PM"
"307","BSAC","Banco Santander Chile SA ADR","Financial","Banks - Regional","Chile","16795.43","15.05","35.65","-0.36%","196962","12.06","1.59","3.44","3.52","","8.31","2.90%","10.92%","2.86%","7.59%","1.50%","471.12","471.10","0.00%","","4.76%","911.40%","0.11%","1.72","313.43","-2.97%","7.93%","17.12%","48.29%","14.59%","58.30%","104.18%","58.80%","107.39%","2.53%","2.77%","0.63","0.60","0.99","-0.78%","7.63%","29.42%","-5.49%","71.64%","53.26","-0.14%","-0.22%","4.52%","1.55%","23.56%","6.84%","0.49","","2.42","3.92","","28.26%","22.86%","1/15/2026 4:30:00 PM"
"308","BSBR","Banco Santander (Brasil) S.A. ADR","Financial","Banks - Regional","Spain","24617.14","23.49","6.59","-2.66%","826756","6.77","0.73","0.79","3.18","","4.12","10.28%","11.38%","-9.81%","9.34%","5.14%","3735.53","3735.34","0.01%","0.00%","0.81%","170.98%","0.05%","2.27","769.39","1.54%","4.27%","4.27%","32.06%","7.86%","48.88%","33.95%","12.33%","196.64%","3.34%","3.10%","1.07","0.60","0.23","-2.64%","3.34%","17.34%","-9.97%","57.10%","48.52","-0.08%","-2.58%","6.36%","0.91%","9.34%","2.52%","1.27","","2.58","2.58","","8.67%","6.69%","2/4/2026 8:30:00 AM"
"309","BSM","Black Stone Minerals L.P","Energy","Oil & Gas E&P","USA","3220.31","13.24","15.20","0.60%","356043","12.63","2.20","7.23","3.90","521.93","9.62","6.67%","-1.90%","4.11%","5.75%","-2.27%","211.85","171.17","19.21%","0.20%","14.41%","1.63%","1.99%","8.57","397.04","1.33%","7.04%","10.47%","22.09%","14.37%","0.53%","-7.99%","57.27%","28.76%","1.34%","1.85%","0.90","0.16","0.27","2.59%","6.61%","13.65%","-2.06%","29.03%","66.11","0.86%","-0.26%","8.40%","22.07%","23.90%","20.04%","4.37","4.37","0.08","0.08","77.40%","65.47%","54.89%","2/23/2026 4:30:00 PM"
"310","BSX","Boston Scientific Corp","Healthcare","Medical Devices","USA","110826.07","38.54","74.73","0.82%","13452417","19.05","1.43","5.52","4.74","80.72","28.98","13.18%","13.30%","","13.30%","15.16%","1483.02","1477.36","0.38%","-5.91%","93.73%","0.69%","1.91%","2.12","13327.51","-2.02%","-20.28%","-28.23%","-28.25%","-21.63%","-29.59%","56.70%","94.66%","349.10%","2.47%","3.12%","1.01","0.71","2.93","-12.35%","-18.09%","-24.92%","-31.75%","2.81%","26.04","-0.12%","0.94%","","6.91%","12.66%","8.29%","1.51","0.96","0.49","0.51","70.32%","19.43%","14.44%","2/4/2026 8:30:00 AM"
"311","BSY","Bentley Systems Inc","Technology","Software - Application","USA","10351.30","41.19","34.10","0.00%","3774345","25.37","2.00","7.09","8.66","62.58","22.50","10.51%","13.69%","12.90%","12.66%","12.93%","291.92","120.17","60.41%","-0.02%","45.71%","2.24%","11.80%","6.08","2330.58","2.80%","-13.30%","-23.16%","-34.07%","-10.65%","-27.00%","-13.21%","-29.38%","","3.50%","3.60%","1.62","1.20","1.28","-4.21%","-10.87%","-28.65%","-42.45%","10.12%","38.82","-0.64%","0.65%","0.80%","7.85%","24.16%","10.92%","0.61","0.61","1.06","1.07","78.95%","24.23%","18.44%","2/26/2026 8:30:00 AM"
"312","BTDR","Bitdeer Technologies Group","Technology","Software - Application","Singapore","2342.65","","10.08","-2.80%","5735730","56.00","","3.78","3.05","13.26","","43.01%","132.20%","-18.95%","","11.97%","232.41","120.65","48.09%","0.00%","29.87%","40.86%","21.09%","3.74","6800.95","-19.94%","-31.71%","-27.69%","-26.85%","-10.08%","-39.20%","-5.79%","","","10.99%","9.34%","0.84","2.38","1.22","-23.01%","-17.56%","-29.53%","-63.74%","47.37%","36.26","-6.32%","3.76%","","3.01%","11.46%","5.45%","0.91","0.75","0.39","1.27","9.83%","-29.66%","10.58%","2/12/2026 8:30:00 AM"
"313","BTE","Baytex Energy Corp","Energy","Oil & Gas E&P","Canada","2666.00","17.45","3.47","2.36%","18789921","44.61","","1.22","0.89","355.94","9.01","-33.72%","-41.73%","","","16.76%","768.32","669.04","12.92%","0.00%","33.24%","-2.17%","3.02%","1.06","19164.84","-1.70%","2.97%","14.52%","71.78%","7.43%","40.49%","-23.87%","340.41%","91.71%","4.32%","4.06%","0.98","0.29","0.15","0.97%","5.61%","41.30%","-5.58%","155.15%","53.13","3.27%","-0.88%","1.88%","2.77%","5.16%","3.45%","0.58","0.58","0.48","0.48","23.47%","20.11%","7.03%","10/30/2025 4:30:00 PM"
"314","BTG","B2gold Corp","Basic Materials","Gold","Canada","7215.16","36.56","5.40","7.57%","27720113","6.80","0.07","2.88","2.16","19.21","","228.81%","50.93%","","99.00%","10.48%","1330.13","1275.05","4.57%","0.00%","56.79%","0.34%","5.16%","1.68","39070.00","6.72%","15.88%","29.19%","40.99%","19.73%","108.49%","56.98%","7.14%","419.23%","7.57%","6.08%","0.71","0.61","0.33","4.00%","11.76%","28.36%","-9.09%","114.29%","55.81","4.85%","2.59%","1.48%","4.19%","6.90%","5.58%","1.03","0.46","0.18","0.19","46.01%","41.14%","8.75%","2/18/2026 4:30:00 PM"
"315","BTI","British American Tobacco Plc ADR","Consumer Defensive","Tobacco","United Kingdom","129065.02","12.97","59.50","-1.83%","6743208","11.31","2.02","3.82","2.03","24.97","22.10","1.90%","7.34%","5.20%","5.61%","0.43%","2169.16","2167.17","0.09%","0.00%","12.94%","5.25%","0.27%","1.46","3972.44","-5.25%","3.59%","6.59%","3.62%","5.09%","50.21%","57.07%","56.46%","10.57%","1.95%","1.65%","1.70","0.32","1.20","-0.92%","2.48%","11.86%","-5.59%","59.47%","50.22","-0.17%","-1.67%","5.70%","6.82%","15.94%","9.42%","0.87","0.57","0.66","0.73","61.35%","39.56%","29.87%","2/12/2026 8:30:00 AM"
"316","BTSG","BrightSpring Health Services Inc","Healthcare","Health Information Services","USA","7008.49","64.87","38.86","2.83%","1400402","29.11","0.67","0.56","3.86","49.94","21.95","87.51%","27.12%","60.10%","43.36%","20.01%","180.69","114.72","36.39%","-31.19%","82.03%","15.16%","7.20%","4.52","1824.54","-2.07%","1.07%","15.52%","72.10%","3.77%","76.00%","","","","4.45%","4.26%","0.77","2.41","1.66","-0.97%","2.00%","34.90%","-5.82%","150.98%","50.18","2.53%","0.29%","","1.23%","4.25%","2.93%","1.79","1.38","1.43","1.48","12.30%","2.92%","1.04%","2/27/2026 8:30:00 AM"
"317","BTU","Peabody Energy Corp","Energy","Thermal Coal","USA","4189.12","","34.45","-1.96%","3300223","9.53","","1.08","1.18","7.28","7.93","698.19%","40.60%","53.10%","","5.85%","121.60","113.79","6.42%","-0.21%","103.41%","5.65%","12.60%","5.02","2854.15","-6.69%","-4.41%","13.36%","91.71%","15.99%","101.46%","30.79%","716.35%","","7.03%","6.14%","1.16","0.51","2.14","-4.69%","4.76%","48.15%","-13.77%","258.48%","48.19","-2.19%","0.23%","1.31%","-0.90%","-1.47%","-1.34%","1.85","1.40","0.12","0.12","2.62%","-0.10%","-1.37%","2/5/2026 8:30:00 AM"
"318","BUD","Anheuser-Busch InBev SA/NV ADR","Consumer Defensive","Beverages - Brewers","Belgium","139122.93","22.91","80.39","0.24%","3192297","16.51","1.21","2.34","1.95","11.65","12.42","15.73%","12.82%","","13.67%","4.75%","1730.60","1730.60","0.00%","","5.75%","-3.67%","0.42%","3.48","2107.22","6.04%","16.86%","24.54%","32.48%","25.53%","51.34%","36.56%","26.48%","-30.35%","1.74%","1.47%","1.51","0.52","1.43","10.16%","18.84%","23.56%","-1.43%","53.23%","89.24","0.34%","-0.10%","1.79%","3.21%","8.29%","4.30%","0.72","0.57","0.83","0.84","55.93%","25.47%","11.53%","2/12/2026 8:30:00 AM"
"319","BULL","Webull Corp","Technology","Software - Application","USA","3015.92","","6.01","2.39%","8373085","","","7.43","3.02","1.47","","","","","","","417.96","212.59","57.64%","0.00%","34.38%","9.12%","10.98%","1.60","14555.23","-8.66%","-28.37%","-38.49%","-61.10%","-22.65%","-48.46%","-41.65%","","","7.39%","5.65%","0.58","-0.03","0.43","-14.69%","-25.20%","-47.77%","-92.45%","3.98%","31.89","0.84%","1.53%","","-1.73%","-5.58%","-44.18%","1.40","1.40","0.11","0.11","76.92%","7.44%","-120.65%","11/20/2025 4:30:00 PM"
"320","BUR","Burford Capital Limited","Financial","Asset Management","United Kingdom","2055.47","24.30","9.39","0.97%","1122775","5.94","0.14","4.41","0.82","2.72","70.95","50.64%","58.98%","-7.52%","41.80%","41.61%","218.81","196.42","10.27%","0.00%","72.47%","1.93%","5.37%","5.52","1913.35","5.27%","-4.09%","4.68%","-30.85%","5.27%","-38.30%","12.59%","3.53%","180.30%","2.90%","3.41%","0.59","1.01","0.32","-0.83%","0.69%","-18.77%","-40.31%","14.65%","50.47","-0.21%","1.18%","1.33%","1.34%","3.53%","1.87%","15.24","15.24","0.86","0.86","","67.13%","18.68%","2/26/2026 8:30:00 AM"
