"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","EPS Growth This Year","EPS Growth Next Year","EPS Growth Past 5 Years","EPS Growth Next 5 Years","Sales Growth Past 5 Years","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Average Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Performance (10 Years)","Volatility (Week)","Volatility (Month)","Relative Volume","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Dividend Yield","Return on Assets","Return on Equity","Return on Invested Capital","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date"
"1448","PM","Philip Morris International Inc","Consumer Defensive","Tobacco","USA","291892.98","25.81","187.51","-0.76%","3770609","20.41","2.03","7.20","","59.67","27.37","11.73%","9.07%","7.09%","10.05%","7.15%","1556.66","1553.68","0.19%","0.00%","84.06%","1.17%","1.28%","3.43","5776.21","2.57%","9.60%","20.54%","13.46%","16.90%","25.69%","80.80%","117.73%","110.54%","2.61%","2.52%","0.65","0.40","4.40","4.97%","12.70%","12.52%","-1.82%","31.95%","72.18","-0.52%","-0.24%","3.18%","17.28%","","31.73%","0.96","0.51","","","65.23%","35.61%","27.91%","2/6/2026 8:30:00 AM"
"1449","PNC","PNC Financial Services Group Inc","Financial","Banks - Regional","USA","89434.80","13.81","229.32","-0.16%","2546786","11.04","1.01","2.64","1.48","","10.15","9.82%","13.99%","-0.46%","10.92%","13.34%","390.41","388.49","0.39%","-0.21%","87.85%","1.51%","1.60%","2.61","2381.58","-5.43%","8.01%","22.69%","17.86%","9.86%","17.34%","42.45%","41.32%","183.36%","2.77%","2.31%","1.07","0.96","5.31","0.14%","5.28%","17.33%","-5.99%","58.02%","53.98","0.50%","-0.65%","3.05%","1.21%","11.99%","5.59%","0.43","","0.94","0.94","","25.03%","19.40%","1/16/2026 8:30:00 AM"
"1450","PNFP","Pinnacle Financial Partners Inc","Financial","Banks - Regional","USA","14534.86","12.21","96.13","1.06%","1410088","8.12","0.44","4.61","1.12","","15.13","22.48%","15.45%","2.69%","18.27%","19.40%","151.20","149.55","1.09%","-0.01%","45.24%","-0.31%","2.85%","2.84","1496.21","-5.99%","0.08%","8.68%","2.90%","0.75%","-19.79%","19.86%","25.76%","105.80%","4.10%","3.47%","0.94","1.01","3.35","-1.86%","-1.97%","-2.32%","-21.21%","17.85%","45.90","1.94%","-0.86%","1.90%","1.17%","9.44%","6.71%","0.16","","0.32","0.37","","21.14%","19.29%","1/21/2026 4:30:00 PM"
"1451","PNR","Pentair plc","Industrials","Specialty Industrial Machinery","United Kingdom","16588.38","25.64","101.37","1.61%","1550407","17.45","2.11","3.97","4.38","163.27","22.11","8.36%","8.99%","13.08%","8.28%","6.71%","163.64","162.59","0.64%","-2.00%","97.53%","3.26%","2.45%","2.49","1602.27","4.13%","-2.60%","-6.73%","-4.93%","-2.66%","4.30%","79.29%","89.02%","239.99%","2.48%","2.87%","0.97","1.23","3.02","-1.31%","-2.29%","-2.85%","-11.04%","36.53%","48.41","1.37%","0.24%","1.05%","9.76%","17.48%","11.87%","1.61","0.95","0.42","0.42","42.94%","21.85%","15.66%","2/3/2026 8:30:00 AM"
"1452","PNW","Pinnacle West Capital Corp","Utilities","Utilities - Regulated Electric","USA","11896.03","20.41","99.39","2.13%","1625075","21.28","10.04","2.24","1.66","317.06","","-4.84%","-6.32%","1.87%","2.12%","8.10%","119.69","119.36","0.28%","0.00%","96.06%","0.41%","5.05%","4.88","1234.49","6.28%","7.68%","11.70%","8.14%","12.05%","11.24%","33.14%","30.45%","47.86%","2.32%","2.00%","1.32","0.53","1.89","5.67%","9.50%","9.96%","0.48%","16.49%","71.89","2.44%","-0.31%","3.65%","2.11%","8.62%","2.98%","0.61","0.42","1.78","1.99","20.92%","16.51%","11.20%","2/25/2026 8:30:00 AM"
"1453","PODD","Insulet Corporation","Healthcare","Medical Devices","USA","17076.01","70.43","242.74","0.80%","776046","38.99","1.12","6.77","12.34","22.55","40.31","50.72%","27.48%","98.82%","34.68%","22.92%","70.35","70.06","0.41%","-2.25%","101.84%","-0.46%","2.76%","2.32","834.06","0.33%","-14.19%","-27.94%","-23.13%","-14.60%","-13.96%","-18.71%","-16.23%","872.13%","3.66%","3.36%","0.93","1.43","8.78","-6.47%","-12.85%","-20.33%","-31.60%","5.52%","30.91","0.46%","0.34%","","8.13%","19.68%","10.62%","2.83","2.14","0.68","0.75","72.11%","17.32%","9.76%","2/18/2026 8:30:00 AM"
"1454","PONY","Pony AI Inc. ADR","Technology","Information Technology Services","China","4958.97","","14.07","-1.61%","2473202","","","51.45","6.15","11.12","","80.65%","-15.98%","","41.29%","","352.45","285.51","18.99%","0.00%","23.17%","19.83%","6.65%","4.24","4481.05","-1.68%","-12.55%","1.70%","-7.13%","-2.97%","-5.32%","","","","6.12%","5.78%","0.55","6.11","0.93","-4.81%","-7.08%","-9.86%","-43.54%","242.34%","43.74","-2.56%","0.98%","","-30.54%","-33.58%","-41.65%","7.04","7.04","0.01","0.02","18.57%","-373.31%","-350.64%","11/25/2025 8:30:00 AM"
"1455","POOL","Pool Corporation","Industrials","Industrial Distribution","USA","9902.03","24.26","265.83","-1.38%","603964","22.92","4.87","1.87","7.19","77.07","25.09","-1.88%","6.80%","12.04%","4.71%","10.67%","37.32","36.10","3.10%","-0.43%","95.34%","-8.44%","9.50%","4.38","782.49","-0.12%","0.18%","6.10%","-18.48%","16.21%","-21.89%","-29.08%","-21.31%","241.33%","2.63%","2.53%","0.77","1.21","7.07","1.21%","6.69%","-6.89%","-29.06%","17.57%","57.32","-1.45%","0.07%","1.49%","11.94%","29.16%","15.45%","2.57","0.87","0.92","1.01","29.60%","11.12%","7.75%","2/19/2026 8:30:00 AM"
"1456","POR","Portland General Electric Co","Utilities","Utilities - Regulated Electric","USA","6074.40","19.59","54.00","2.86%","1069965","15.92","3.89","1.83","1.51","44.34","","0.24%","7.76%","4.69%","4.09%","8.85%","112.49","111.95","0.48%","-3.73%","102.48%","1.34%","4.11%","4.35","1059.16","6.61%","9.58%","6.89%","26.70%","12.52%","28.21%","12.64%","28.27%","41.29%","2.00%","1.82%","1.01","0.68","0.95","6.63%","9.53%","20.59%","2.53%","36.55%","79.37","3.09%","-0.23%","3.85%","2.43%","7.99%","3.41%","1.08","0.95","1.25","1.27","31.70%","14.13%","9.15%","2/20/2026 8:30:00 AM"
"1457","POST","Post Holdings Inc","Consumer Defensive","Packaged Foods","USA","5366.36","20.67","111.90","1.35%","932327","13.48","1.42","0.64","1.55","18.85","12.31","1.34%","13.25%","244.23%","9.47%","7.44%","47.96","41.29","13.91%","0.29%","101.37%","-3.17%","13.20%","5.94","917.11","-2.36%","13.86%","4.94%","2.90%","12.97%","-0.96%","22.66%","71.02%","160.10%","2.97%","3.08%","1.02","0.43","3.37","7.90%","11.01%","5.61%","-6.63%","17.71%","67.13","1.29%","0.05%","","2.47%","8.69%","2.92%","1.90","1.02","2.16","2.16","26.26%","10.44%","3.82%","2/5/2026 4:30:00 PM"
"1458","POWI","Power Integrations Inc","Technology","Semiconductors","USA","2620.34","120.28","47.21","1.11%","457226","25.63","1.24","5.91","3.88","10.50","30.08","3.52%","42.35%","-19.63%","20.74%","-1.91%","55.34","54.21","2.33%","-6.42%","104.17%","4.88%","8.09%","4.20","1043.77","-0.27%","12.14%","32.39%","-0.11%","32.84%","-21.01%","-44.00%","-48.99%","116.66%","5.05%","4.75%","0.44","1.34","2.22","2.74%","14.81%","3.93%","-30.78%","52.98%","60.63","0.31%","0.80%","1.82%","2.76%","3.11%","3.21%","6.51","4.14","0.02","0.03","54.49%","7.89%","4.98%","2/5/2026 4:30:00 PM"
"1459","POWL","Powell Industries, Inc","Industrials","Electrical Equipment & Parts","USA","7104.09","38.01","585.07","-1.32%","171830","32.13","2.43","6.38","10.62","14.18","43.99","10.36%","11.02%","59.82%","13.21%","16.32%","12.14","9.42","22.41%","-1.76%","84.02%","-13.81%","13.25%","4.61","270.80","0.15%","45.80%","64.24%","128.99%","83.53%","173.08%","1253.39%","1907.10%","2136.51%","6.32%","7.05%","0.63","0.78","32.58","19.76%","44.51%","97.97%","-4.48%","300.67%","77.96","-1.09%","-0.23%","0.18%","18.67%","32.16%","27.99%","2.29","2.08","0.00","0.00","30.15%","20.33%","16.82%","2/3/2026 4:30:00 PM"
"1460","PPC","Pilgrim's Pride Corp","Consumer Defensive","Packaged Foods","USA","10290.56","9.54","43.32","4.01%","1211102","10.77","","0.56","2.80","16.07","15.58","-20.05%","-2.69%","63.80%","-6.03%","8.88%","237.55","41.62","82.48%","0.00%","22.38%","1.34%","15.79%","6.78","969.34","-0.12%","3.86%","14.15%","-5.13%","11.11%","-1.75%","108.30%","134.68%","159.23%","3.73%","2.55%","1.25","0.42","1.19","1.23%","6.26%","2.65%","-17.88%","21.25%","58.66","2.39%","1.58%","2.59%","10.31%","27.33%","15.52%","1.47","0.76","0.89","0.91","12.50%","9.53%","5.85%","2/11/2026 4:30:00 PM"
"1461","PPG","PPG Industries, Inc","Basic Materials","Specialty Chemicals","USA","29472.69","19.00","131.34","-0.17%","1713733","15.14","1.90","1.86","3.78","13.28","40.65","5.39%","8.63%","9.29%","7.98%","2.79%","224.40","224.15","0.11%","-13.07%","90.35%","0.68%","3.09%","3.24","2137.76","3.82%","20.97%","34.72%","17.32%","28.19%","11.38%","2.02%","-5.20%","43.10%","1.96%","2.28%","0.80","1.12","2.77","9.88%","19.24%","21.20%","-1.57%","45.55%","80.83","0.12%","-0.29%","2.21%","5.78%","16.31%","11.08%","1.62","1.22","0.85","0.95","37.88%","13.56%","9.88%","1/27/2026 4:30:00 PM"
"1462","PPL","PPL Corp","Utilities","Utilities - Regulated Electric","USA","27976.94","25.73","37.82","3.31%","11521859","19.40","2.48","3.12","1.94","25.00","","7.17%","7.65%","-12.75%","7.82%","1.72%","739.54","738.41","0.18%","-1.17%","88.97%","7.05%","4.33%","4.23","7549.42","5.29%","6.45%","2.55%","2.00%","8.00%","9.91%","31.27%","35.02%","5.82%","2.32%","1.98%","1.53","0.72","0.72","4.12%","7.20%","6.04%","-1.16%","16.37%","68.26","3.64%","-0.33%","2.87%","2.58%","7.65%","3.48%","0.77","0.66","1.18","1.32","27.43%","22.79%","12.15%","2/20/2026 8:30:00 AM"
"1463","PPTA","Perpetua Resources Corp","Basic Materials","Other Precious Metals & Mining","USA","3517.25","","28.86","4.68%","1139869","","","","5.84","7.89","","-106.06%","83.09%","13.04%","-5.73%","","121.87","113.07","7.23%","-1.31%","72.76%","-1.15%","10.32%","5.13","2275.07","2.70%","-9.27%","24.99%","64.63%","19.21%","141.10%","764.07%","285.83%","949.45%","7.55%","8.39%","0.50","0.04","2.38","-5.87%","0.76%","39.04%","-19.76%","269.53%","48.59","2.74%","1.89%","","-13.97%","-14.54%","-8.32%","42.25","42.25","0.00","0.00","","","","11/17/2025 8:30:00 AM"
